id,name_en,oil_type,botanical_names,description_summary,use_categories,aromatherapy_mentioned,safety_flags,source_url,source_name,accessed_date
19,Calamus oil,essential oil or volatile aromatic oil,,Calamus oil Used in perfumery and formerly as a food additive,perfumery/fragrance; flavor/food,0,,https://en.wikipedia.org/wiki/Acorus_calamus#Uses,Wikipedia: List of essential oils,2026-05-08
20,Camphor oil,essential oil or volatile aromatic oil,,Camphor oil used in cosmetics and household cleaners.,cosmetics/skin/hair; cleaning/disinfectant,0,,https://en.wikipedia.org/wiki/Cinnamomum_camphora,Wikipedia: List of essential oils,2026-05-08
21,Cannabis flower essential oil,essential oil or volatile aromatic oil,,"Cannabis flower essential oil, used as a flavoring in foods, primarily candy and beverages. Also used as a scent in perfumes, cosmetics, soaps, and candles.",perfumery/fragrance; flavor/food; cosmetics/skin/hair,0,,https://en.wikipedia.org/wiki/Cannabis_flower_essential_oil,Wikipedia: List of essential oils,2026-05-08
22,Caraway seed oil,essential oil or volatile aromatic oil,,"Caraway seed oil, used a flavoring in foods. Also used in mouthwashes, toothpastes, etc. as a flavoring agent.",flavor/food,0,,https://en.wikipedia.org/wiki/Caraway,Wikipedia: List of essential oils,2026-05-08
23,Cardamom seed oil,essential oil or volatile aromatic oil,,"Cardamom seed oil, used in aromatherapy. Extracted from seeds of subspecies of Zingiberaceae (ginger). Also used as a fragrance in soaps, perfumes, etc.",aromatherapy; perfumery/fragrance; cosmetics/skin/hair,1,,https://en.wikipedia.org/wiki/Cardamom,Wikipedia: List of essential oils,2026-05-08
24,Carrot seed oil,essential oil or volatile aromatic oil,,"Carrot seed oil, used in aromatherapy.",aromatherapy,1,,https://en.wikipedia.org/wiki/Carrot_seed_oil,Wikipedia: List of essential oils,2026-05-08
25,Cedar oil,essential oil or volatile aromatic oil,,"Cedar oil (or cedarwood oil), primarily used in perfumes and fragrances.",perfumery/fragrance,0,,https://en.wikipedia.org/wiki/Cedar_oil,Wikipedia: List of essential oils,2026-05-08
26,Chamomile oil,essential oil or volatile aromatic oil,,"Chamomile oil, there are many varieties of chamomile but only two are used in aromatherapy, Roman and German. German chamomile contains a higher level of the chemical azulene",aromatherapy,1,,https://en.wikipedia.org/wiki/Roman_chamomile,Wikipedia: List of essential oils,2026-05-08
27,Cinnamon oil,essential oil or volatile aromatic oil,,"Cinnamon oil, used for flavoring",flavor/food,0,,https://en.wikipedia.org/wiki/Cinnamon,Wikipedia: List of essential oils,2026-05-08
28,Cistus ladanifer,essential oil or volatile aromatic oil,Cistus ladanifer,Cistus ladanifer leaves and flowers used in perfumery.,perfumery/fragrance,0,,https://en.wikipedia.org/wiki/Cistus_ladanifer,Wikipedia: List of essential oils,2026-05-08
29,Citron oil,essential oil or volatile aromatic oil,,"Citron oil, used in Ayurveda and perfumery.",perfumery/fragrance; traditional/medicinal,0,,https://en.wikipedia.org/wiki/Citron#Medicinal,Wikipedia: List of essential oils,2026-05-08
30,Citronella oil,essential oil or volatile aromatic oil,,"Citronella oil, from a plant related to lemon grass is used as an insect repellent",insect repellent,0,,https://en.wikipedia.org/wiki/Citronella_oil,Wikipedia: List of essential oils,2026-05-08
31,Clary Sage oil,essential oil or volatile aromatic oil,,"Clary Sage oil, used in perfumery and as an additive flavoring in some alcoholic beverages.",perfumery/fragrance; flavor/food,0,,https://en.wikipedia.org/wiki/Salvia_sclarea#Uses,Wikipedia: List of essential oils,2026-05-08
32,Clove oil,essential oil or volatile aromatic oil,,Clove oil used in perfumery and medicinally.,perfumery/fragrance; traditional/medicinal,0,,https://en.wikipedia.org/wiki/Clove_oil,Wikipedia: List of essential oils,2026-05-08
33,Coconut oil,carrier/fixed oil listed in source,,"Coconut oil, used for skin, food, and hair",flavor/food; cosmetics/skin/hair,0,,https://en.wikipedia.org/wiki/Coconut_oil,Wikipedia: List of essential oils,2026-05-08
34,Coffee oil,essential oil or volatile aromatic oil,,"Coffee oil, used to flavor food.",flavor/food,0,,https://en.wikipedia.org/wiki/Coffee,Wikipedia: List of essential oils,2026-05-08
35,Coriander oil,essential oil or volatile aromatic oil,,Coriander oil,general essential-oil/perfumery reference,0,,https://en.wikipedia.org/wiki/Coriander,Wikipedia: List of essential oils,2026-05-08
36,Costmary oil,essential oil or volatile aromatic oil,,"Costmary oil (bible leaf oil), formerly used medicinally in Europe; still used as such in southwest Asia. Discovered to contain up to 12.5% of the toxin β-thujone.",traditional/medicinal,0,neurotoxin/thujone,https://en.wikipedia.org/wiki/Tanacetum_balsamita#Chemical_constituents,Wikipedia: List of essential oils,2026-05-08
37,Costus root oil,essential oil or volatile aromatic oil,,Costus root oil,general essential-oil/perfumery reference,0,,https://en.wikipedia.org/wiki/Costus,Wikipedia: List of essential oils,2026-05-08
38,Cranberry seed oil,carrier/fixed oil listed in source,,"Cranberry seed oil, equally high in omega-3 and omega-6 fatty acids, primarily used in the cosmetic industry.",cosmetics/skin/hair,0,,https://en.wikipedia.org/wiki/Cranberry,Wikipedia: List of essential oils,2026-05-08
39,Cubeb oil,essential oil or volatile aromatic oil,,"Cubeb oil, used to flavor foods.",flavor/food,0,,https://en.wikipedia.org/wiki/Cubeb#Chemistry,Wikipedia: List of essential oils,2026-05-08
40,Cumin seed oil,essential oil or volatile aromatic oil,,"Cumin seed oil/black seed oil, used as a flavor, particularly in meat products",flavor/food,0,,https://en.wikipedia.org/wiki/Cumin,Wikipedia: List of essential oils,2026-05-08
41,Curry leaf oil,essential oil or volatile aromatic oil,,"Curry leaf oil, used to flavor food.",flavor/food,0,,https://en.wikipedia.org/wiki/Curry_leaf,Wikipedia: List of essential oils,2026-05-08
42,Cypress oil,essential oil or volatile aromatic oil,,"Cypress oil, used in cosmetics",cosmetics/skin/hair,0,,https://en.wikipedia.org/wiki/Fokienia,Wikipedia: List of essential oils,2026-05-08
43,Cypriol oil,essential oil or volatile aromatic oil,Cyperus scariosus,"Cypriol oil, from Cyperus scariosus",general essential-oil/perfumery reference,0,,https://en.wikipedia.org/wiki/Cypriol,Wikipedia: List of essential oils,2026-05-08
44,Davana oil,essential oil or volatile aromatic oil,Artemisia pallens,"Davana oil, from the Artemisia pallens, used as a perfume ingredient",perfumery/fragrance,0,,https://en.wikipedia.org/wiki/Davana_oil,Wikipedia: List of essential oils,2026-05-08
45,Dill oil,essential oil or volatile aromatic oil,,"Dill oil, chemically almost identical to Caraway seed oil. High carvone content.",general essential-oil/perfumery reference,0,,https://en.wikipedia.org/wiki/Dill_oil,Wikipedia: List of essential oils,2026-05-08
46,Douglas-fir oil,essential oil or volatile aromatic oil,,Douglas-fir oil is unique amongst conifer oils as Douglas-fir is not a true Fir but its own genus. The New Zealand variety steam distilled using mountain spring water is particularly sought after for its purity and chemical profile.,general essential-oil/perfumery reference,0,,https://en.wikipedia.org/wiki/Douglas_fir,Wikipedia: List of essential oils,2026-05-08
47,Elecampane oil,essential oil or volatile aromatic oil,,Elecampane oil,general essential-oil/perfumery reference,0,,https://en.wikipedia.org/wiki/Elecampane,Wikipedia: List of essential oils,2026-05-08
48,Elemi oil,essential oil or volatile aromatic oil,Canarium luzonicum; Canarium ovatum,"Elemi oil, used as a perfume and fragrance ingredient. Comes from the oleoresins of Canarium luzonicum and Canarium ovatum which are common in the Philippines.",perfumery/fragrance,0,,https://en.wikipedia.org/wiki/Canarium_luzonicum,Wikipedia: List of essential oils,2026-05-08
49,Eucalyptus oil,essential oil or volatile aromatic oil,,"Eucalyptus oil, historically used as a germicide.",cleaning/disinfectant,0,,https://en.wikipedia.org/wiki/Eucalyptus_oil,Wikipedia: List of essential oils,2026-05-08
50,Fennel seed oil,essential oil or volatile aromatic oil,,Fennel seed oil,general essential-oil/perfumery reference,0,,https://en.wikipedia.org/wiki/Fennel,Wikipedia: List of essential oils,2026-05-08
51,Fenugreek oil,essential oil or volatile aromatic oil,,"Fenugreek oil, used for cosmetics from ancient times.",cosmetics/skin/hair,0,,https://en.wikipedia.org/wiki/Fenugreek,Wikipedia: List of essential oils,2026-05-08
52,Fir oil,essential oil or volatile aromatic oil,,Fir oil,general essential-oil/perfumery reference,0,,https://en.wikipedia.org/wiki/Fir,Wikipedia: List of essential oils,2026-05-08
53,Frankincense oil,essential oil or volatile aromatic oil,,"Frankincense oil, used in aromatherapy and in perfumes.",aromatherapy; perfumery/fragrance,1,,https://en.wikipedia.org/wiki/Frankincense,Wikipedia: List of essential oils,2026-05-08
54,Galangal oil,essential oil or volatile aromatic oil,,"Galangal oil , used to flavor food.",flavor/food,0,,https://en.wikipedia.org/wiki/Galangal,Wikipedia: List of essential oils,2026-05-08
55,Galbanum oil,essential oil or volatile aromatic oil,,"Galbanum oil, used in perfumery.",perfumery/fragrance,0,,https://en.wikipedia.org/wiki/Galbanum#Uses,Wikipedia: List of essential oils,2026-05-08
56,Garlic oil,essential oil or volatile aromatic oil,Allium sativum,Garlic oil is distilled from Allium sativum.,general essential-oil/perfumery reference,0,,https://en.wikipedia.org/wiki/Garlic_oil,Wikipedia: List of essential oils,2026-05-08
57,Geranium oil,essential oil or volatile aromatic oil,,"Geranium oil, also referred to as geraniol. Used in herbal medicine, aromatherapy, and perfumery.",aromatherapy; perfumery/fragrance; traditional/medicinal,1,,https://en.wikipedia.org/wiki/Geranium_oil,Wikipedia: List of essential oils,2026-05-08
58,Ginger oil,essential oil or volatile aromatic oil,,"Ginger oil, used medicinally in many cultures, and has been studied extensively as a nausea treatment, where it was found more effective than placebo.",traditional/medicinal,0,,https://en.wikipedia.org/wiki/Ginger#Chemistry,Wikipedia: List of essential oils,2026-05-08
59,Goldenrod oil,essential oil or volatile aromatic oil,,"Goldenrod oil used in herbal medicine, including treatment of urological problems.",traditional/medicinal,0,,https://en.wikipedia.org/wiki/Solidago#Traditional_medicine,Wikipedia: List of essential oils,2026-05-08
60,Grapefruit oil,essential oil or volatile aromatic oil,,"Grapefruit oil, extracted from the peel of the fruit. Used in aromatherapy. Contains 90% limonene.",aromatherapy,1,,https://en.wikipedia.org/wiki/Grapefruit,Wikipedia: List of essential oils,2026-05-08
61,Henna oil,essential oil or volatile aromatic oil,,"Henna oil, used in body art. Known to be dangerous to people with certain enzyme deficiencies. Pre-mixed pastes are considered dangerous, primarily due to adulterants.",general essential-oil/perfumery reference,0,toxic,https://en.wikipedia.org/wiki/Henna,Wikipedia: List of essential oils,2026-05-08
62,Helichrysum oil,essential oil or volatile aromatic oil,,Helichrysum oil,general essential-oil/perfumery reference,0,,https://en.wikipedia.org/wiki/Helichrysum,Wikipedia: List of essential oils,2026-05-08
63,Hickory nut oil,carrier/fixed oil listed in source,,Hickory nut oil,general essential-oil/perfumery reference,0,,https://en.wikipedia.org/wiki/Hickory,Wikipedia: List of essential oils,2026-05-08
64,Horseradish oil,essential oil or volatile aromatic oil,,Horseradish oil,general essential-oil/perfumery reference,0,,https://en.wikipedia.org/wiki/Horseradish,Wikipedia: List of essential oils,2026-05-08
65,Hyssop,essential oil or volatile aromatic oil,,Hyssop,general essential-oil/perfumery reference,0,,https://en.wikipedia.org/wiki/Hyssop,Wikipedia: List of essential oils,2026-05-08
66,Jasmine oil,essential oil or volatile aromatic oil,,"Jasmine oil, used for its flowery fragrance.",perfumery/fragrance,0,,https://en.wikipedia.org/wiki/Jasmine,Wikipedia: List of essential oils,2026-05-08
67,Juniper berry oil,essential oil or volatile aromatic oil,,"Juniper berry oil, used as a flavor.",flavor/food,0,,https://en.wikipedia.org/wiki/Juniper,Wikipedia: List of essential oils,2026-05-08
68,Lavender oil,essential oil or volatile aromatic oil,,"Lavender oil, used primarily as a fragrance.",perfumery/fragrance,0,,https://en.wikipedia.org/wiki/Lavender_oil,Wikipedia: List of essential oils,2026-05-08
69,Ledum,essential oil or volatile aromatic oil,,Ledum,general essential-oil/perfumery reference,0,,https://en.wikipedia.org/wiki/Ledum,Wikipedia: List of essential oils,2026-05-08
70,Lemon oil,essential oil or volatile aromatic oil,,"Lemon oil, similar in fragrance to the fruit. Unlike other essential oils, lemon oil is usually cold pressed. Used in cosmetics.",perfumery/fragrance; cosmetics/skin/hair,0,photosensitivity possible,https://en.wikipedia.org/wiki/Lemon,Wikipedia: List of essential oils,2026-05-08
71,Lemongrass,essential oil or volatile aromatic oil,,Lemongrass. Lemongrass is a highly fragrant grass from India. The oil is very useful for insect repellent.,insect repellent,0,,https://en.wikipedia.org/wiki/Lemongrass,Wikipedia: List of essential oils,2026-05-08
72,Lime,essential oil or volatile aromatic oil,,Lime,general essential-oil/perfumery reference,0,,https://en.wikipedia.org/wiki/Lime_(fruit),Wikipedia: List of essential oils,2026-05-08
73,Litsea cubeba oil,essential oil or volatile aromatic oil,Litsea cubeba oil,"Litsea cubeba oil, lemon-like scent, often used in perfumes and aromatherapy.",aromatherapy; perfumery/fragrance,1,,https://en.wikipedia.org/wiki/Litsea_cubeba,Wikipedia: List of essential oils,2026-05-08
74,Linalool,aroma compound listed in source,,Linalool,general essential-oil/perfumery reference,0,,https://en.wikipedia.org/wiki/Linalool,Wikipedia: List of essential oils,2026-05-08
75,Mandarin,essential oil or volatile aromatic oil,,Mandarin,general essential-oil/perfumery reference,0,,https://en.wikipedia.org/wiki/Mandarin_orange,Wikipedia: List of essential oils,2026-05-08
76,Marjoram,essential oil or volatile aromatic oil,,Marjoram,general essential-oil/perfumery reference,0,,https://en.wikipedia.org/wiki/Marjoram,Wikipedia: List of essential oils,2026-05-08
77,Manuka oil,essential oil or volatile aromatic oil,,Manuka oil,general essential-oil/perfumery reference,0,,https://en.wikipedia.org/wiki/Manuka_oil,Wikipedia: List of essential oils,2026-05-08
78,Melissa oil,essential oil or volatile aromatic oil,,"Melissa oil (Lemon balm), sweet smelling oil",general essential-oil/perfumery reference,0,,https://en.wikipedia.org/wiki/Lemon_balm,Wikipedia: List of essential oils,2026-05-08
79,Mentha arvensis oil,essential oil or volatile aromatic oil,Mentha arvensis oil,"Mentha arvensis oil, mint oil, used in flavoring toothpastes, mouthwashes and pharmaceuticals, as well as in aromatherapy.",aromatherapy; flavor/food,1,,https://en.wikipedia.org/wiki/Mentha_arvensis,Wikipedia: List of essential oils,2026-05-08
80,Moringa oil,carrier/fixed oil listed in source,,"Moringa oil, can be used directly on the skin and hair. It can also be used in soap and as a base for other cosmetics.",cosmetics/skin/hair,0,,https://en.wikipedia.org/wiki/Moringa_oleifera#Oil,Wikipedia: List of essential oils,2026-05-08
81,Mountain Savory,essential oil or volatile aromatic oil,,Mountain Savory,general essential-oil/perfumery reference,0,,https://en.wikipedia.org/wiki/Winter_savory,Wikipedia: List of essential oils,2026-05-08
82,Mugwort oil,essential oil or volatile aromatic oil,,"Mugwort oil, used in ancient times for medicinal and magical purposes. Currently considered to be a neurotoxin.",traditional/medicinal,0,neurotoxin/thujone,https://en.wikipedia.org/wiki/Mugwort_oil,Wikipedia: List of essential oils,2026-05-08
83,Mustard oil,essential oil or volatile aromatic oil,,"Mustard oil, containing a high percentage of allyl isothiocyanate or other isothiocyanates, depending on the species of mustard",general essential-oil/perfumery reference,0,,https://en.wikipedia.org/wiki/Mustard_oil#Mustard_oil_from_mixing_seeds_with_water,Wikipedia: List of essential oils,2026-05-08
84,Myrrh oil,essential oil or volatile aromatic oil,,"Myrrh oil, warm, slightly musty smell.",general essential-oil/perfumery reference,0,,https://en.wikipedia.org/wiki/Myrrh,Wikipedia: List of essential oils,2026-05-08
85,Myrtle,essential oil or volatile aromatic oil,,Myrtle,general essential-oil/perfumery reference,0,,https://en.wikipedia.org/wiki/Myrtus_communis,Wikipedia: List of essential oils,2026-05-08
86,Neem oil,carrier/fixed oil listed in source,,Neem oil or neem tree oil,general essential-oil/perfumery reference,0,,https://en.wikipedia.org/wiki/Neem_oil,Wikipedia: List of essential oils,2026-05-08
87,Neroli,essential oil or volatile aromatic oil,,Neroli is produced from the blossom of the bitter orange tree.,general essential-oil/perfumery reference,0,,https://en.wikipedia.org/wiki/Neroli,Wikipedia: List of essential oils,2026-05-08
88,Nutmeg oil,essential oil or volatile aromatic oil,,Nutmeg oil,general essential-oil/perfumery reference,0,,https://en.wikipedia.org/wiki/Nutmeg,Wikipedia: List of essential oils,2026-05-08
89,Orange oil,essential oil or volatile aromatic oil,,"Orange oil, like lemon oil, cold pressed rather than distilled. Consists of 90% d-Limonene. Used as a fragrance, in cleaning products and in flavoring foods.",perfumery/fragrance; flavor/food; cleaning/disinfectant,0,photosensitivity possible,https://en.wikipedia.org/wiki/Orange_oil,Wikipedia: List of essential oils,2026-05-08
90,Oregano oil,essential oil or volatile aromatic oil,,"Oregano oil, contains thymol and carvacrol",general essential-oil/perfumery reference,0,,https://en.wikipedia.org/wiki/Oregano_oil,Wikipedia: List of essential oils,2026-05-08
91,Orris oil,essential oil or volatile aromatic oil,Iris florentina; Iris germanica; Iris pallida,"Orris oil is extracted from the roots of the Florentine iris (Iris florentina), Iris germanica and Iris pallida. It is used as a flavouring agent, in perfume, and medicinally.",perfumery/fragrance; traditional/medicinal,0,,https://en.wikipedia.org/wiki/Orris_oil,Wikipedia: List of essential oils,2026-05-08
92,Palo Santo,essential oil or volatile aromatic oil,,Palo Santo,general essential-oil/perfumery reference,0,,https://en.wikipedia.org/wiki/Bursera_graveolens,Wikipedia: List of essential oils,2026-05-08
93,Parsley oil,essential oil or volatile aromatic oil,,"Parsley oil, used in soaps, detergents, colognes, cosmetics and perfumes, especially men's fragrances.",perfumery/fragrance; cosmetics/skin/hair,0,,https://en.wikipedia.org/wiki/Parsley,Wikipedia: List of essential oils,2026-05-08
94,Patchouli oil,essential oil or volatile aromatic oil,,"Patchouli oil, very common ingredient in perfumes.",perfumery/fragrance,0,,https://en.wikipedia.org/wiki/Patchouli,Wikipedia: List of essential oils,2026-05-08
95,Perilla essential oil,essential oil or volatile aromatic oil,,"Perilla essential oil, extracted from the leaves of the perilla plant. Contains about 50–60% perillaldehyde.",general essential-oil/perfumery reference,0,,https://en.wikipedia.org/wiki/Perilla,Wikipedia: List of essential oils,2026-05-08
96,Pennyroyal oil,essential oil or volatile aromatic oil,,"Pennyroyal oil, highly toxic. It is abortifacient and can even in small quantities cause acute liver and lung damage.",general essential-oil/perfumery reference,0,toxic; abortifacient,https://en.wikipedia.org/wiki/Mentha_pulegium,Wikipedia: List of essential oils,2026-05-08
97,Peppermint oil,essential oil or volatile aromatic oil,,Peppermint oil,general essential-oil/perfumery reference,0,,https://en.wikipedia.org/wiki/Peppermint_oil,Wikipedia: List of essential oils,2026-05-08
98,Petitgrain,essential oil or volatile aromatic oil,,Petitgrain,general essential-oil/perfumery reference,0,,https://en.wikipedia.org/wiki/Petitgrain,Wikipedia: List of essential oils,2026-05-08
99,Pine oil,essential oil or volatile aromatic oil,,"Pine oil, used as a disinfectant, and in aromatherapy.",aromatherapy; cleaning/disinfectant,1,,https://en.wikipedia.org/wiki/Pine_oil,Wikipedia: List of essential oils,2026-05-08
100,Ravensara,essential oil or volatile aromatic oil,,Ravensara,general essential-oil/perfumery reference,0,,https://en.wikipedia.org/wiki/Ravensara_aromatica,Wikipedia: List of essential oils,2026-05-08
101,Red Cedar,essential oil or volatile aromatic oil,,Red Cedar,general essential-oil/perfumery reference,0,,https://en.wikipedia.org/wiki/Juniperus_virginiana,Wikipedia: List of essential oils,2026-05-08
102,Roman Chamomile,essential oil or volatile aromatic oil,,Roman Chamomile,general essential-oil/perfumery reference,0,,https://en.wikipedia.org/wiki/Roman_Chamomile,Wikipedia: List of essential oils,2026-05-08
103,Rose oil,essential oil or volatile aromatic oil,,"Rose oil, distilled from rose petals, used primarily as a fragrance.",perfumery/fragrance,0,,https://en.wikipedia.org/wiki/Rose_oil,Wikipedia: List of essential oils,2026-05-08
104,Rosehip oil,carrier/fixed oil listed in source,Rosa rubiginosa; Rosa mosqueta,"Rosehip oil, distilled from the seeds of the Rosa rubiginosa or Rosa mosqueta.",general essential-oil/perfumery reference,0,,https://en.wikipedia.org/wiki/Rosehip,Wikipedia: List of essential oils,2026-05-08
105,Rosemary oil,essential oil or volatile aromatic oil,Rosmarinus officinalis,"Rosemary oil, distilled from the flowers of Rosmarinus officinalis.",general essential-oil/perfumery reference,0,,https://en.wikipedia.org/wiki/Rosemary,Wikipedia: List of essential oils,2026-05-08
106,Rosewood oil,essential oil or volatile aromatic oil,,"Rosewood oil, used primarily for skin care applications.",cosmetics/skin/hair,0,,https://en.wikipedia.org/wiki/Rosewood_oil,Wikipedia: List of essential oils,2026-05-08
107,Sage oil,essential oil or volatile aromatic oil,,"Sage oil,",general essential-oil/perfumery reference,0,,https://en.wikipedia.org/wiki/Common_sage,Wikipedia: List of essential oils,2026-05-08
108,Sandalwood oil,essential oil or volatile aromatic oil,,"Sandalwood oil, used primarily as a fragrance, for its pleasant, woody fragrance.",perfumery/fragrance,0,,https://en.wikipedia.org/wiki/Sandalwood,Wikipedia: List of essential oils,2026-05-08
109,Sassafras oil,essential oil or volatile aromatic oil,,"Sassafras oil, from sassafras root bark. Used in aromatherapy, soap-making, perfumes, and the like. Formerly used as a spice, and as the primary flavoring of root beer, inter alia. Sassafras oil is heavily regulated in the United States due to its high safrole content.",aromatherapy; perfumery/fragrance; flavor/food; cosmetics/skin/hair,1,regulated,https://en.wikipedia.org/wiki/Sassafras_oil,Wikipedia: List of essential oils,2026-05-08
110,Savory oil,essential oil or volatile aromatic oil,,"Savory oil, from Satureja species. Used in aromatherapy, cosmetic and soap-making applications.",aromatherapy; cosmetics/skin/hair,1,,https://en.wikipedia.org/wiki/Savory_(herb),Wikipedia: List of essential oils,2026-05-08
111,Schisandra oil,essential oil or volatile aromatic oil,,Schisandra oil,general essential-oil/perfumery reference,0,,https://en.wikipedia.org/wiki/Schisandra_chinensis,Wikipedia: List of essential oils,2026-05-08
112,Spearmint oil,essential oil or volatile aromatic oil,,"Spearmint oil, often used in flavoring mouthwash and chewing gum, among other applications.",flavor/food,0,,https://en.wikipedia.org/wiki/Spearmint,Wikipedia: List of essential oils,2026-05-08
113,Spikenard,essential oil or volatile aromatic oil,,Spikenard,general essential-oil/perfumery reference,0,,https://en.wikipedia.org/wiki/Spikenard,Wikipedia: List of essential oils,2026-05-08
114,Spruce oil,essential oil or volatile aromatic oil,,Spruce oil,general essential-oil/perfumery reference,0,,https://en.wikipedia.org/wiki/Spruce,Wikipedia: List of essential oils,2026-05-08
115,Star anise oil,essential oil or volatile aromatic oil,,"Star anise oil, highly fragrant oil using in cooking. Also used in perfumery and soaps, has been used in toothpastes, mouthwashes, and skin creams. 90% of the world's star anise crop is used in the manufacture of Tamiflu, a drug used to treat influenza, and is hoped to be useful for avian flu",perfumery/fragrance; flavor/food; cosmetics/skin/hair,0,,https://en.wikipedia.org/wiki/Star_anise,Wikipedia: List of essential oils,2026-05-08
116,Tangerine,essential oil or volatile aromatic oil,,Tangerine,general essential-oil/perfumery reference,0,,https://en.wikipedia.org/wiki/Tangerine,Wikipedia: List of essential oils,2026-05-08
117,Tarragon oil,essential oil or volatile aromatic oil,Artemisia dracunculus,"Tarragon oil, distilled from Artemisia dracunculus",general essential-oil/perfumery reference,0,,https://en.wikipedia.org/wiki/Tarragon,Wikipedia: List of essential oils,2026-05-08
118,Tea tree oil,essential oil or volatile aromatic oil,Melaleuca alternifolia,"Tea tree oil, extracted from Melaleuca alternifolia.",general essential-oil/perfumery reference,0,,https://en.wikipedia.org/wiki/Tea_tree_oil,Wikipedia: List of essential oils,2026-05-08
